identificativo,cifre,allenatore,evento,stato,nota
04305,5,올레 tv,2015 Olleh TV Charizard,coperta con allenatore,None
04336,5,セイジ Kirk,Shuckle (Pokémon),coperta sul solo identificativo,The OT of the trainer who gives the player a Shuckle to keep safe
044142,6,ノブリン Norton,Chatot (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Eterna City who wants to trade BD SP
04625,5,ゆのすけ,Yunosuke Ralts,non coperta,None
05010,5,타임스퀘어,Times Square Shaymin,non coperta,Can be used to obtain a Gracidea from Platinum to Black 2 and White 2
05013,5,로켓단,Team Rocket Meowth,non coperta,None
05016,5,GF,20th Anniversary Darkrai,coperta con allenatore,None
05025,5,포켓몬타운15,Pokémon Spring Carnival 2015 Rayquaza,coperta con allenatore,Shiny
05026,5,Cartesio Descartes,Multiple,coperta sul solo identificativo,"Used for the distribution of the Shiny Xerneas , Shiny Yveltal , and Zygarde in PAL regions"
05026,5,Aldora,Multiple,coperta con allenatore,Used for the Aldora legendary birds in US regions
05026,5,XYZ,Pokémon the Series: XYZ Zygarde,coperta con allenatore,None
05034,5,Arash,Arash Ommati's Mamoswine,coperta con allenatore,Shiny
050418,6,2018 Legends Légendes2018 Legenden2018 Leggende2018 Leyendas2018,Multiple,coperta sul solo identificativo,Used for the Legendary Pokémon Celebration Xerneas and Yveltal
05043,5,aT센터,Multiple,non coperta,"Used for the Dragonite , Scizor , Tyranitar , Metagross , and Garchomp distributed as part of the Strongest Class Pokémon Gift"
05043,5,플라스마단,Team Plasma Deoxys,non coperta,None
05053,5,aT센터,Multiple,non coperta,"Used for the Dragonite , Scizor , Tyranitar , Metagross , and Garchomp distributed as part of the Strongest Class Pokémon Gift"
05056,5,WCSK16,2016 Korean World Championship Series Mewtwo,coperta con allenatore,Shiny
05072,5,PC,Multiple,coperta con allenatore,Used for the Ninetales and Chandelure distributed in the first part of Powerful Tag Pokémon series
05080,5,VGC10,Video Game Championships 2010 Eevee,coperta con allenatore,Shiny
05083,5,Plasma,Plasma Deoxys,coperta con allenatore,None
05092,5,2012MAY,May 2012 Darkrai,coperta con allenatore,None
05099,5,VGC09,US Video Game Championships 2009 Milotic,coperta con allenatore,Shiny
05112,5,Fes おまつり,Pika Pika Carnival Pikachu,coperta sul solo identificativo,None
05113,5,Ray,Video Game Championships 2013 Metagross,coperta con allenatore,Shiny
05116,5,XYZ,Pokémon the Series: XYZ Xerneas,coperta con allenatore,Shiny
05138,5,ごるこ,Golgo Octillery,coperta con allenatore,None
05142,5,삼로스섬,Multiple,non coperta,Used for the Korean Milos Island Tornadus and Thundurus
05146,5,﻿ScreenPeekaz,Mark McQuillan's Machamp,coperta sul solo identificativo,Shiny
051517,6,Rocky,Rocky Lycanroc,coperta con allenatore,None
05153,5,ＰＣＳ,Pokémon Center 15th Anniversary Empoleon,coperta sul solo identificativo,None
05165,5,박세준,Se Jun Park's Pachirisu,coperta con allenatore,National Championships distribution
